config_id,src,dst,size,repetition,duration_ns,duration_us
67,2,0,835132757,0,509544010.0,509544.01
67,2,0,835132757,1,510588342.0,510588.342
67,2,0,835132757,2,514456772.0,514456.772
67,2,0,835132757,3,507759125.0,507759.125
67,2,0,835132757,4,506586474.0,506586.474
68,2,0,954437290,0,583362498.0,583362.498
68,2,0,954437290,1,586276501.0,586276.501
68,2,0,954437290,2,581011523.0,581011.523
68,2,0,954437290,3,582603429.0,582603.429
68,2,0,954437290,4,583740873.0,583740.873
69,2,0,1073741824,0,653421908.0,653421.908
69,2,0,1073741824,1,656328687.0,656328.687
69,2,0,1073741824,2,652886199.0,652886.199
69,2,0,1073741824,3,661033914.0,661033.914
69,2,0,1073741824,4,653699012.0,653699.012
70,2,1,1024,0,8608.0,8.608
70,2,1,1024,1,7872.0,7.872
70,2,1,1024,2,7232.0,7.232
70,2,1,1024,3,7041.0,7.041
70,2,1,1024,4,7072.0,7.072
71,2,1,119305557,0,74802334.0,74802.334
71,2,1,119305557,1,75212790.0,75212.79
71,2,1,119305557,2,75891553.0,75891.553
71,2,1,119305557,3,75198378.0,75198.378
71,2,1,119305557,4,74324572.0,74324.572
72,2,1,238610090,0,149901273.0,149901.273
72,2,1,238610090,1,149600916.0,149600.916
72,2,1,238610090,2,149835525.0,149835.525
72,2,1,238610090,3,148025774.0,148025.774
72,2,1,238610090,4,150683616.0,150683.616
73,2,1,357914624,0,222870179.0,222870.179
73,2,1,357914624,1,222631955.0,222631.955
73,2,1,357914624,2,226541087.0,226541.087
73,2,1,357914624,3,225511369.0,225511.369
73,2,1,357914624,4,227293192.0,227293.192
74,2,1,477219157,0,297191158.0,297191.158
74,2,1,477219157,1,298445117.0,298445.117
74,2,1,477219157,2,299702823.0,299702.823
74,2,1,477219157,3,299036915.0,299036.915
74,2,1,477219157,4,300119605.0,300119.605
75,2,1,596523690,0,369435423.0,369435.423
75,2,1,596523690,1,376705806.0,376705.806
75,2,1,596523690,2,372063348.0,372063.348
75,2,1,596523690,3,377801380.0,377801.38
75,2,1,596523690,4,374408980.0,374408.98
76,2,1,715828224,0,452418080.0,452418.08
76,2,1,715828224,1,449181298.0,449181.298
76,2,1,715828224,2,450119463.0,450119.463
76,2,1,715828224,3,451213721.0,451213.721
76,2,1,715828224,4,447729734.0,447729.734
77,2,1,835132757,0,526520047.99999994,526520.048
77,2,1,835132757,1,529939736.99999994,529939.737
77,2,1,835132757,2,527535464.00000006,527535.464
77,2,1,835132757,3,522321856.0,522321.856
77,2,1,835132757,4,525783731.0,525783.731
78,2,1,954437290,0,597249881.0,597249.881
78,2,1,954437290,1,598347041.0,598347.041
78,2,1,954437290,2,600099093.0,600099.093
78,2,1,954437290,3,599136868.0,599136.868
78,2,1,954437290,4,598055591.0,598055.591
79,2,1,1073741824,0,670507483.0,670507.483
79,2,1,1073741824,1,675611165.0,675611.165
79,2,1,1073741824,2,673808584.0,673808.584
79,2,1,1073741824,3,668443253.0,668443.253
79,2,1,1073741824,4,677780757.0,677780.757
80,2,3,1024,0,8768.0,8.768
80,2,3,1024,1,7424.0,7.424
80,2,3,1024,2,7072.0,7.072
80,2,3,1024,3,7137.0,7.137
80,2,3,1024,4,7040.0,7.04
81,2,3,119305557,0,68346581.0,68346.581
81,2,3,119305557,1,67268445.0,67268.445
81,2,3,119305557,2,68787535.0,68787.535
81,2,3,119305557,3,69567767.0,69567.767
81,2,3,119305557,4,67141964.0,67141.964
82,2,3,238610090,0,138276784.0,138276.784
82,2,3,238610090,1,138085037.0,138085.037
82,2,3,238610090,2,136996384.0,136996.384
82,2,3,238610090,3,136167415.0,136167.415
82,2,3,238610090,4,135008887.0,135008.887
83,2,3,357914624,0,206315213.0,206315.213
83,2,3,357914624,1,208213550.0,208213.55
83,2,3,357914624,2,205205586.0,205205.586
83,2,3,357914624,3,203655971.0,203655.971
83,2,3,357914624,4,207151642.0,207151.642
84,2,3,477219157,0,275723827.0,275723.827
84,2,3,477219157,1,274248704.0,274248.704
84,2,3,477219157,2,271912979.0,271912.979
84,2,3,477219157,3,270780436.0,270780.436
84,2,3,477219157,4,275815697.0,275815.697
85,2,3,596523690,0,339929521.0,339929.521
85,2,3,596523690,1,340015479.0,340015.479
85,2,3,596523690,2,342449007.0,342449.007
85,2,3,596523690,3,344355778.0,344355.778
85,2,3,596523690,4,336127124.0,336127.124
86,2,3,715828224,0,411127608.0,411127.608
86,2,3,715828224,1,409493032.0,409493.032
86,2,3,715828224,2,407982713.0,407982.713
86,2,3,715828224,3,408490276.0,408490.276
86,2,3,715828224,4,405266920.0,405266.92
87,2,3,835132757,0,479238681.0,479238.681
87,2,3,835132757,1,480514095.0,480514.095
87,2,3,835132757,2,473729336.0,473729.336
