config_id,src,dst,size,duration_ms,bandwidth_gbps,elapsed_s,src_temp,dst_temp,src_power,dst_power,src_clock_graphics,dst_clock_graphics
19,1,3,791178186,155.285783,5.094981463950244,181.11838764184571,53.0,55.0,42.96,45.46,1590.0,1590.0
20,1,3,904203641,181.32162899999997,4.986739011703894,189.20087311499023,53.0,55.0,42.76,45.53,1590.0,1590.0
21,1,2,960716368,190.643577,5.039332471190466,198.38750382983397,53.0,55.0,42.96,44.65,1590.0,1590.0
26,1,3,1073741824,213.86955700000001,5.02054541591443,266.9488161538086,54.0,56.0,43.51,45.33,1590.0,1590.0
30,1,3,565127276,112.87518399999999,5.006656520710522,338.5981537380371,54.0,57.0,42.28,45.72,1590.0,1590.0
31,1,2,847690913,166.434231,5.093248593794386,344.4013407368164,54.0,57.0,42.57,44.94,1590.0,1590.0
34,1,0,565127276,125.529414,4.5019510407337675,381.6191652619629,54.0,56.0,42.57,43.35,1590.0,1590.0
36,1,3,56512728,11.165554,5.061345634977002,417.41721615380857,54.0,57.0,43.81,44.39,1590.0,1590.0
42,1,2,339076366,67.93981600000001,4.990834329018494,491.9671895788574,54.0,57.0,42.08,45.04,1590.0,1590.0
44,1,3,678152731,135.239322,5.014464143793918,506.61911395288087,55.0,57.0,44.1,44.39,1590.0,1590.0
47,1,2,169538183,33.914701,4.998958504749901,532.978234973877,55.0,57.0,44.29,43.32,1590.0,1590.0
49,1,2,282563638,56.615964,4.990882748194485,544.4137172558594,55.0,57.0,44.29,42.83,1590.0,1590.0
63,1,3,734665458,146.74053400000003,5.006561159168195,699.7216094318848,55.0,58.0,44.39,44.46,1590.0,1590.0
65,1,0,1073741824,238.01945600000002,4.511151491750321,708.9843782749024,55.0,55.0,42.08,43.93,1590.0,1590.0
71,1,0,508614548,114.285178,4.450398178493452,806.4300361879883,54.0,55.0,42.67,43.25,1590.0,1590.0
72,1,0,960716368,211.771848,4.536563179068069,812.2262136179199,54.0,55.0,42.67,43.25,1590.0,1590.0
75,1,0,734665458,163.822747,4.484514339147299,840.481005802002,54.0,56.0,42.08,43.93,1590.0,1590.0
77,1,2,56512728,11.306966000000001,4.998045275806082,850.7806260078125,55.0,57.0,42.57,43.61,1590.0,1590.0
89,1,0,904203641,199.53949400000002,4.531452009194731,1022.0222641899414,54.0,56.0,41.99,44.03,1590.0,1590.0
94,1,2,678152731,135.283867,5.012813028178741,1065.1368695778808,55.0,58.0,43.9,43.51,1590.0,1590.0
95,1,2,734665458,145.91253400000002,5.034971553574691,1072.0142195559083,55.0,58.0,42.08,45.04,1590.0,1590.0
123,1,0,678152731,151.267961,4.48312204723907,1425.2390986999512,54.0,55.0,44.19,42.76,1590.0,1590.0
126,1,0,226050911,49.811406000000005,4.538135522615041,1450.0303702019044,54.0,55.0,41.69,43.15,1590.0,1590.0
131,1,2,395589093,78.442887,5.043020573681844,1532.2688134909667,54.0,56.0,41.69,43.32,1590.0,1590.0
134,1,3,339076366,67.042759,5.057613544812497,1564.9580588359374,53.0,57.0,41.79,45.82,1590.0,1590.0
137,1,2,113025456,23.362481,4.837904672881275,1589.0628212509766,53.0,56.0,41.6,44.46,1590.0,1590.0
139,1,3,960716368,191.533338,5.015922439570285,1595.9777890949706,53.0,57.0,42.47,44.29,1590.0,1590.0
147,1,3,1017229096,203.313856,5.003245307589857,1700.2541117939454,54.0,57.0,41.89,44.19,1590.0,1590.0
148,1,3,621640003,124.62383,4.988131106225831,1710.5849011538087,54.0,56.0,41.89,44.19,1590.0,1590.0
152,1,2,508614548,101.679907,5.0021146065761055,1758.9504641459962,53.0,56.0,41.79,44.75,1590.0,1590.0
155,1,2,791178186,156.826996,5.044910673414925,1787.3943066379395,54.0,57.0,41.99,43.49,1590.0,1590.0
156,1,0,1017229096,216.015539,4.709055194404325,1839.4247896108398,55.0,56.0,42.67,43.35,1590.0,1590.0
